837,2.65,2.29
323,0.93,0.93
815,3.51,2.84
419,1.8,2.11
643,1.42,2.05
700,1.91,2.29
315,0.28,2.08
559,1.74,1.92
240,0.68,1.57
594,1.68,2.3
594,1.98,2.45
954,3.35,2.02
267,0.95,1.14
515,0.96,1.97
61,0.55,0.46
860,3.62,2.73
174,0.53,1.74
884,2.39,2.07
713,1.85,2.31
571,1.59,1.63
373,1.01,1.3
770,3.16,1.7
130,0.63,1.3
197,0.55,1.17
383,0.87,1.77
271,0.63,0.94
839,2.64,2.42
623,2.23,1.88
296,1.35,1.12
438,0.88,1.9
610,2.05,1.56
845,2.96,1.7
173,0.1,0.86
881,3.5,3.03
42,0.01,0.24
476,1.1,1.87
574,1.3,1.48
958,3.39,2.76
302,1.2,1.88
339,1.11,1.73
582,2.49,2.14
591,1.83,2.24
148,0.15,1.51
816,2.73,1.63
203,0.5,1.84
597,2.7,1.8
874,3.02,2.03
940,3.79,2.21
299,1.01,1.86
370,1.11,1.62
479,1.42,1.76
250,0.12,1.39
913,3.32,2.39
501,1.76,1.85
553,1.65,1.88
642,1.99,2.02
109,0.26,1.3
679,2.03,1.27
565,1.44,1.73
575,1.79,2.86
430,1.3,2.12
544,1.4,1.83
179,1.24,0.9
222,0.71,1.65
974,3.66,2.75
46,0.32,0.04
908,3.67,2.16
873,3.07,2.36
729,2.54,1.91
171,0.61,1.07
799,2.97,2.15
608,1.65,2.11
452,1.54,2.22
156,0.38,1.42
628,1.94,1.48
50,0.01,0.94
680,1.85,2.63
297,1.21,1.33
839,3.05,3.12
204,0.4,1.2
773,2.52,1.88
299,0.58,1.56
275,0.56,1.63
441,2.04,1.63
452,1.18,1.6
927,2.96,2.68
514,0.95,1.57
689,2.33,2.66
560,1.62,2.68
491,1.73,1.98
173,1.35,2.0
777,2.43,2.36
815,2.36,1.99
768,2.98,2.95
274,0.25,1.41
661,2.48,1.9
753,3.09,2.41
98,1.06,1.06
924,3.2,2.04
27,0.05,0.51
567,1.7,1.82
841,3.11,2.3
951,2.89,2.55
187,0.02,1.3
92,0.14,1.06
872,2.89,1.86
821,2.08,2.52
91,0.62,1.17
353,1.03,1.92
548,1.62,2.05
900,3.52,2.29
260,0.68,1.52
697,2.81,2.22
464,0.95,1.63
124,0.37,1.16
788,1.93,2.44
965,4.26,2.21
43,0.17,0.62
483,1.43,1.35
933,3.88,2.4
768,2.73,2.1
28,0.13,1.37
695,1.9,2.39
931,3.36,3.42
349,0.57,1.41
381,0.51,2.54
80,0.16,1.12
772,3.12,1.36
513,1.26,2.04
989,3.2,2.54
920,3.25,1.91
90,0.05,0.57
349,0.78,1.66
179,0.67,1.29
675,2.32,2.73
660,2.4,2.19
443,1.59,1.88
464,0.95,1.75
685,2.48,2.9
938,3.64,2.57
904,3.81,2.63
666,2.25,2.37
205,0.25,1.27
767,2.95,2.32
284,0.91,1.62
273,0.07,2.07
938,3.66,2.82
735,2.28,1.83
211,0.76,1.4
76,0.17,1.28
506,1.47,1.54
138,0.41,1.74
235,0.62,0.74
248,0.84,1.57
511,1.63,1.9
77,0.17,0.39
929,2.42,2.78
85,0.12,1.94
330,0.08,1.5
288,0.5,2.12
937,3.12,2.76
81,0.01,0.9
100,0.28,0.69
550,1.45,2.37
676,1.97,2.83
672,1.58,3.09
511,1.26,2.29
675,1.67,2.35
730,2.92,2.28
742,2.83,2.35
855,2.69,2.38
961,3.92,2.51
209,0.58,1.29
708,2.06,2.57
218,0.95,1.5
627,1.93,1.98
888,2.85,2.55
742,2.46,2.16
957,3.6,2.06
411,1.18,2.0
710,2.9,1.63
246,0.13,1.09
605,2.25,2.52
651,2.1,2.48
184,0.67,1.87
402,1.28,1.5
52,0.74,0.98
167,0.4,1.63
832,3.48,2.35
39,0.18,1.0
137,0.18,1.36
400,0.79,2.68
590,2.13,1.3
960,3.04,2.49
401,1.55,1.47
962,3.59,3.05
397,1.26,1.34
392,0.7,1.6
539,1.68,1.62
787,2.5,2.31
472,2.23,2.57
62,0.43,0.82
535,1.02,2.41
291,1.14,2.15
65,0.1,0.36
393,1.35,1.77
856,3.67,2.3
944,3.15,2.37
921,2.69,2.65
294,0.4,1.61
262,0.26,2.29
786,2.97,2.37
554,1.58,2.31
516,2.17,1.87
379,0.64,2.11
358,1.16,1.56
202,0.24,2.02
736,2.53,1.99
969,3.25,2.45
727,2.26,1.94
779,2.97,1.85
208,0.29,1.12
111,0.14,1.08
704,1.81,2.3
467,1.55,2.31
490,1.79,1.6
445,1.81,2.25
136,0.25,1.17
635,2.08,1.59
879,3.2,2.05
324,1.06,2.53
853,2.15,2.64
694,2.32,1.51
879,3.72,1.84
375,0.96,1.52
653,1.98,1.71
324,1.49,1.67
535,2.21,1.78
477,1.83,2.21
584,2.09,2.89
521,1.65,1.6
525,2.08,2.31
280,0.83,1.84
196,0.72,1.83
565,1.87,1.86
679,2.16,2.08
32,0.15,0.62
434,1.18,1.75
872,3.64,1.78
329,0.78,1.92
190,0.13,1.55
89,0.09,1.18
634,1.92,2.15
337,0.76,1.85
909,3.67,1.81
168,0.26,1.22
125,0.4,1.02
162,0.3,1.98
618,2.39,2.25
578,1.5,2.77
790,2.58,1.91
446,1.06,1.92
806,2.59,2.25
212,0.63,1.25
40,0.58,1.07
268,1.09,2.22
28,0.25,0.54
518,1.16,1.94
667,2.64,1.64
902,2.75,1.78
435,1.87,2.01
591,2.08,2.17
903,2.61,2.52
710,1.51,2.37
459,0.89,1.95
662,2.71,2.34
161,0.41,1.73
731,2.35,2.19
783,2.35,2.31
576,2.29,1.99
467,1.06,1.58
86,0.23,1.28
707,2.49,2.05
710,2.19,1.67
826,2.87,1.85
20,0.55,0.57
141,1.24,1.55
497,1.4,1.71
212,0.85,1.3
542,2.31,2.03
450,0.86,2.03
186,0.86,1.5
280,1.02,1.63
993,3.63,1.97
317,0.98,1.5
373,0.53,1.56
844,2.48,1.7
606,1.26,2.59
405,1.39,2.17
783,1.83,2.54
345,0.3,1.44
727,1.81,2.42
49,0.29,0.85
561,1.82,2.68
292,1.0,1.1
810,3.31,1.9
435,1.47,1.86
946,3.07,1.73
499,2.18,2.15
318,0.87,2.12
736,2.7,1.79
139,0.52,1.62
622,2.35,2.91
872,2.71,2.71
521,1.8,2.77
727,2.04,2.2
496,1.34,1.98
797,2.55,2.52
689,2.64,1.88
752,2.7,1.73
435,1.59,2.46
237,0.11,0.94
314,0.91,2.0
437,1.55,1.93
658,2.18,1.99
864,2.85,1.69
119,0.67,1.48
881,2.87,2.62
702,2.09,2.19
579,1.9,2.68
612,2.37,2.87
235,0.7,0.92
869,2.79,2.72
39,0.7,0.58
813,2.74,2.0
173,0.21,1.2
335,0.92,1.86
626,2.24,2.13
883,3.44,2.03
649,2.39,2.67
462,1.72,2.32
377,1.81,1.72
784,2.84,2.82
56,0.41,0.47
637,1.8,2.42
961,2.96,1.72
226,0.53,1.55
928,3.44,2.34
37,0.08,0.19
736,1.73,1.96
537,1.61,2.47
459,1.51,1.93
264,0.76,0.73
778,3.09,2.06
543,1.74,2.23
359,1.22,1.13
424,1.71,1.48
705,2.03,2.31
489,1.68,1.56
386,1.6,1.93
127,0.53,0.55
208,0.32,1.47
256,0.02,1.86
859,3.05,1.77
842,2.66,2.31
844,2.78,2.33
262,1.29,1.69
750,2.69,2.28
167,0.82,1.59
809,3.51,1.36
488,0.85,2.42
75,0.53,1.02
306,1.29,2.0
783,2.52,2.93
512,0.75,1.88
27,0.08,1.11
723,2.36,2.14
787,2.48,1.98
190,0.44,1.62
157,0.12,1.86
670,1.94,2.22
784,2.93,2.25
294,1.26,0.77
351,0.3,1.81
493,1.53,1.68
406,0.71,2.13
974,3.59,3.02
118,1.04,0.28
89,0.02,0.93
708,2.23,2.46
969,4.07,1.97
583,1.75,2.06
349,0.64,1.53
823,2.72,3.04
282,0.78,1.45
575,2.59,1.82
324,0.8,1.5
801,2.19,1.8
419,1.0,2.07
842,3.06,2.33
